Timestamp,EAR,Status
2025-05-28 13:17:12.361791,0.03,DROWSY
2025-05-28 13:17:12.418580,0.03,DROWSY
2025-05-28 13:17:12.471051,0.04,DROWSY
2025-05-28 13:17:12.545259,0.03,DROWSY
2025-05-28 13:17:12.633642,0.04,DROWSY
2025-05-28 13:17:12.700906,0.02,DROWSY
2025-05-28 13:17:12.778929,0.04,DROWSY
2025-05-28 13:17:12.873911,0.05,DROWSY
2025-05-28 13:17:12.949974,0.03,DROWSY
2025-05-28 13:17:13.088683,0.04,DROWSY
2025-05-28 13:17:13.175160,0.03,DROWSY
2025-05-28 13:17:13.254856,0.02,DROWSY
2025-05-28 13:17:13.294740,0.04,DROWSY
2025-05-28 13:17:13.347958,0.05,DROWSY
2025-05-28 13:17:13.406528,0.04,DROWSY
2025-05-28 13:17:13.476421,0.04,DROWSY
2025-05-28 13:17:13.555198,0.02,DROWSY
2025-05-28 13:17:13.671804,0.08,DROWSY
2025-05-28 13:17:13.742707,0.13,DROWSY
2025-05-28 13:17:13.792898,0.14,DROWSY
2025-05-28 13:17:13.873430,0.15,DROWSY
2025-05-28 13:17:13.926193,0.14,DROWSY
2025-05-28 13:17:13.984473,0.19,DROWSY
2025-05-28 13:17:14.061138,0.18,DROWSY
2025-05-28 13:20:06.481709,0.1,DROWSY
2025-05-28 13:20:06.659482,0.05,DROWSY
2025-05-28 13:20:06.724302,0.06,DROWSY
2025-05-28 13:20:06.791358,0.1,DROWSY
2025-05-28 13:20:06.878354,0.08,DROWSY
2025-05-28 13:20:06.931914,0.06,DROWSY
2025-05-28 13:20:06.992514,0.05,DROWSY
2025-05-28 13:20:07.044870,0.07,DROWSY
2025-05-28 13:20:07.097125,0.05,DROWSY
2025-05-28 13:20:07.165581,0.06,DROWSY
2025-05-28 13:20:07.241373,0.08,DROWSY
2025-05-28 13:20:07.291028,0.06,DROWSY
2025-05-28 13:20:07.357972,0.06,DROWSY
2025-05-28 13:20:07.397814,0.07,DROWSY
2025-05-28 13:20:07.466145,0.13,DROWSY
2025-05-28 13:20:07.546448,0.06,DROWSY
2025-05-28 13:20:07.694376,0.06,DROWSY
2025-05-28 13:20:07.759237,0.06,DROWSY
2025-05-28 13:20:07.823960,0.07,DROWSY
2025-05-28 13:20:07.880914,0.08,DROWSY
2025-05-28 13:20:07.944560,0.09,DROWSY
