Timestamp,EAR,Status
2025-05-25 13:19:18.342963,0.12,Drowsy
2025-05-25 13:19:18.886870,0.12,Drowsy
2025-05-25 13:19:19.415762,0.21,Drowsy
2025-05-25 13:19:25.771179,0.05,Drowsy
2025-05-25 13:19:26.314475,0.05,Drowsy
2025-05-25 13:19:26.845656,0.04,Drowsy
2025-05-25 13:19:27.385561,0.04,Drowsy
2025-05-25 13:19:42.046973,0.2,Drowsy
2025-05-25 13:19:42.572831,0.1,Drowsy
2025-05-25 13:19:43.194168,0.21,Drowsy
2025-05-25 13:19:43.739215,0.19,Drowsy
2025-05-25 13:19:44.281163,0.22,Drowsy
2025-05-25 13:23:37.653750,0.07,Drowsy
2025-05-25 13:23:38.199308,0.06,Drowsy
2025-05-25 13:23:38.742830,0.05,Drowsy
2025-05-25 13:23:39.267863,0.06,Drowsy
2025-05-25 13:23:39.813086,0.05,Drowsy
2025-05-25 13:23:40.355116,0.06,Drowsy
2025-05-25 13:23:41.039927,0.06,Drowsy
2025-05-25 13:23:41.565528,0.06,Drowsy
2025-05-25 13:23:54.123767,0.19,Drowsy
2025-05-25 13:31:46.042389,0.11,Drowsy
2025-05-25 13:31:46.652127,0.13,Drowsy
2025-05-25 13:31:47.240169,0.14,Drowsy
2025-05-25 13:31:47.863400,0.15,Drowsy
2025-05-25 13:31:48.486273,0.19,Drowsy
2025-05-25 13:32:05.868277,0.12,Drowsy
2025-05-25 13:32:06.470453,0.14,Drowsy
2025-05-25 15:59:38.667420,0.05,Drowsy
2025-05-25 15:59:39.363036,0.06,Drowsy
2025-05-25 15:59:40.015964,0.06,Drowsy
2025-05-25 15:59:40.607539,0.19,Drowsy
2025-05-25 15:59:52.669681,0.02,Drowsy
2025-05-25 15:59:53.250359,0.04,Drowsy
2025-05-25 16:00:01.487302,0.03,Drowsy
2025-05-25 16:00:02.092964,0.05,Drowsy
2025-05-25 16:00:02.678010,0.06,Drowsy
2025-05-25 16:00:03.256974,0.07,Drowsy
2025-05-25 16:00:03.849731,0.05,Drowsy
2025-05-25 16:00:04.441846,0.07,Drowsy
2025-05-25 16:00:05.034973,0.05,Drowsy
2025-05-25 16:00:05.642014,0.06,Drowsy
2025-05-25 16:00:06.389014,0.09,Drowsy
2025-05-25 16:00:06.968421,0.2,Drowsy
